Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2026-02-03,Argentinos Jrs,Belgrano,0,0,D,NA,NA,NA,NA,1.66,3.4,5.73,4,4,13,12,1
2026-02-03,Union de Santa Fe,Gimnasia Mendoza,4,0,H,NA,NA,NA,NA,1.74,3.22,5.37,1,3,24,16,2
2026-02-03,Banfield,Estudiantes Rio Cuarto,2,1,H,NA,NA,NA,NA,1.88,2.99,4.73,1,1,24,27,2
2026-02-04,Ind. Rivadavia,Sarmiento Junin,2,1,H,NA,NA,NA,NA,1.74,3.22,5.36,6,3,7,18,2
2026-02-04,Instituto,Lanus,2,2,D,NA,NA,NA,NA,2.84,2.84,2.69,0,6,29,6,1
2026-02-07,River Plate,Tigre,1,4,A,NA,NA,NA,NA,1.6,3.54,6.08,7,7,3,2,0
2026-02-07,Central Cordoba,Union de Santa Fe,1,0,H,NA,NA,NA,NA,3.44,2.79,2.34,1,4,27,14,2
2026-02-07,Aldosivi,Rosario Central,1,1,D,NA,NA,NA,NA,4.27,2.9,2.02,2,4,25,16,1
2026-02-07,Racing Club,Argentinos Jrs,2,1,H,NA,NA,NA,NA,2.76,2.89,2.73,0,5,30,12,2
2026-02-08,Huracan,San Lorenzo,1,0,H,NA,NA,NA,NA,2.49,2.58,3.5,2,6,24,9,2
2026-02-08,Sarmiento Junin,Atl. Tucuman,2,1,H,NA,NA,NA,NA,2.71,2.82,2.85,3,2,21,25,2
2026-02-08,Belgrano,Banfield,1,0,H,NA,NA,NA,NA,1.81,3.26,4.69,5,4,11,18,2
